MES,PAIS,CONTINENTE,OCM,NUMERO_VISITANTES
ABRIL,AFGHANISTÁN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,5
ABRIL,AFGHANISTÁN,ASIA,CEBAF - TUMBES,0
ABRIL,AFGHANISTÁN,ASIA,DESAGUADERO,1
ABRIL,AFGHANISTÁN,ASIA,KASANI,0
ABRIL,AFGHANISTÁN,ASIA,OTRAS OCM,0
ABRIL,AFGHANISTÁN,ASIA,SANTA ROSA,17
ABRIL,ALBANIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,37
ABRIL,ALBANIA,EUROPA,CEBAF - TUMBES,0
ABRIL,ALBANIA,EUROPA,DESAGUADERO,1
ABRIL,ALBANIA,EUROPA,KASANI,2
ABRIL,ALBANIA,EUROPA,OTRAS OCM,1
ABRIL,ALBANIA,EUROPA,SANTA ROSA,0
ABRIL,ALEMANIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,22672
ABRIL,ALEMANIA,EUROPA,CEBAF - TUMBES,458
ABRIL,ALEMANIA,EUROPA,DESAGUADERO,1370
ABRIL,ALEMANIA,EUROPA,KASANI,1504
ABRIL,ALEMANIA,EUROPA,OTRAS OCM,1669
ABRIL,ALEMANIA,EUROPA,SANTA ROSA,525
ABRIL,ANDORRA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,54
ABRIL,ANDORRA,EUROPA,CEBAF - TUMBES,0
ABRIL,ANDORRA,EUROPA,DESAGUADERO,0
ABRIL,ANDORRA,EUROPA,KASANI,2
ABRIL,ANDORRA,EUROPA,OTRAS OCM,0
ABRIL,ANDORRA,EUROPA,SANTA ROSA,0
ABRIL,ANGOLA,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,9
ABRIL,ANGOLA,ÁFRICA,CEBAF - TUMBES,0
ABRIL,ANGOLA,ÁFRICA,DESAGUADERO,0
ABRIL,ANGOLA,ÁFRICA,KASANI,0
ABRIL,ANGOLA,ÁFRICA,OTRAS OCM,0
ABRIL,ANGOLA,ÁFRICA,SANTA ROSA,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,9
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,KASANI,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,OTRAS OCM,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,ARABIA SAUDITA,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,100
ABRIL,ARABIA SAUDITA,ASIA,CEBAF - TUMBES,0
ABRIL,ARABIA SAUDITA,ASIA,DESAGUADERO,2
ABRIL,ARABIA SAUDITA,ASIA,KASANI,1
ABRIL,ARABIA SAUDITA,ASIA,OTRAS OCM,2
ABRIL,ARABIA SAUDITA,ASIA,SANTA ROSA,0
ABRIL,ARGELIA,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,41
ABRIL,ARGELIA,ÁFRICA,CEBAF - TUMBES,0
ABRIL,ARGELIA,ÁFRICA,DESAGUADERO,0
ABRIL,ARGELIA,ÁFRICA,KASANI,0
ABRIL,ARGELIA,ÁFRICA,OTRAS OCM,0
ABRIL,ARGELIA,ÁFRICA,SANTA ROSA,0
ABRIL,ARGENTINA,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,44561
ABRIL,ARGENTINA,AMÉRICA DEL SUR,CEBAF - TUMBES,507
ABRIL,ARGENTINA,AMÉRICA DEL SUR,DESAGUADERO,1703
ABRIL,ARGENTINA,AMÉRICA DEL SUR,KASANI,849
ABRIL,ARGENTINA,AMÉRICA DEL SUR,OTRAS OCM,1405
ABRIL,ARGENTINA,AMÉRICA DEL SUR,SANTA ROSA,3687
ABRIL,ARMENIA,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,126
ABRIL,ARMENIA,ASIA,CEBAF - TUMBES,1
ABRIL,ARMENIA,ASIA,DESAGUADERO,2
ABRIL,ARMENIA,ASIA,KASANI,0
ABRIL,ARMENIA,ASIA,OTRAS OCM,1
ABRIL,ARMENIA,ASIA,SANTA ROSA,3
ABRIL,ARUBA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,92
ABRIL,ARUBA,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,ARUBA,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,ARUBA,AMÉRICA CENTRAL,KASANI,0
ABRIL,ARUBA,AMÉRICA CENTRAL,OTRAS OCM,4
ABRIL,ARUBA,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,AUSTRALIA,OCEANÍA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,8903
ABRIL,AUSTRALIA,OCEANÍA,CEBAF - TUMBES,141
ABRIL,AUSTRALIA,OCEANÍA,DESAGUADERO,198
ABRIL,AUSTRALIA,OCEANÍA,KASANI,395
ABRIL,AUSTRALIA,OCEANÍA,OTRAS OCM,1082
ABRIL,AUSTRALIA,OCEANÍA,SANTA ROSA,80
ABRIL,AUSTRIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2234
ABRIL,AUSTRIA,EUROPA,CEBAF - TUMBES,48
ABRIL,AUSTRIA,EUROPA,DESAGUADERO,96
ABRIL,AUSTRIA,EUROPA,KASANI,144
ABRIL,AUSTRIA,EUROPA,OTRAS OCM,249
ABRIL,AUSTRIA,EUROPA,SANTA ROSA,52
ABRIL,AZERBAIYÁN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,24
ABRIL,AZERBAIYÁN,ASIA,CEBAF - TUMBES,0
ABRIL,AZERBAIYÁN,ASIA,DESAGUADERO,1
ABRIL,AZERBAIYÁN,ASIA,KASANI,0
ABRIL,AZERBAIYÁN,ASIA,OTRAS OCM,0
ABRIL,AZERBAIYÁN,ASIA,SANTA ROSA,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,106
ABRIL,BAHAMAS,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,KASANI,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,OTRAS OCM,2
ABRIL,BAHAMAS,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,BAHRÉIN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,25
ABRIL,BAHRÉIN,ASIA,CEBAF - TUMBES,0
ABRIL,BAHRÉIN,ASIA,DESAGUADERO,0
ABRIL,BAHRÉIN,ASIA,KASANI,0
ABRIL,BAHRÉIN,ASIA,OTRAS OCM,2
ABRIL,BAHRÉIN,ASIA,SANTA ROSA,0
ABRIL,BANGLADESH,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,50
ABRIL,BANGLADESH,ASIA,CEBAF - TUMBES,0
ABRIL,BANGLADESH,ASIA,DESAGUADERO,0
ABRIL,BANGLADESH,ASIA,KASANI,0
ABRIL,BANGLADESH,ASIA,OTRAS OCM,3
ABRIL,BANGLADESH,ASIA,SANTA ROSA,0
