ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
1,AMAZONAS,CAVERNA DE QUIOCTA,47.285714285714285
1,AMAZONAS,COMPLEJO ARQUEOLÓGICO DE KUÉLAP,586.5714285714286
1,AMAZONAS,LAS CATARATAS DE GOCTA,569.4285714285714
1,AMAZONAS,MUSEO DE LEYMEBAMBA,84.28571428571429
1,AMAZONAS,SITIO ARQUEOLÓGICO DE KARAJÍA,75.0
1,AMAZONAS,SITIO ARQUEOLÓGICO REVASH,40.857142857142854
1,APURÃMAC,CONJUNTO ARQUEOLÓGICO DE SAYWITE,1.2857142857142858
1,APURÃMAC,MUSEO ARQUEOLÓGICO ANTROPOLÓGICO DE APURÍMAC,0.0
1,APURÃMAC,SANTUARIO NACIONAL DE AMPAY,9.142857142857142
1,AREQUIPA,MONASTERIO DE SANTA CATALINA,4228.142857142857
1,AREQUIPA,RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA,28.285714285714285
1,AREQUIPA,RESERVA PAISAJÍSTICA SUB CUENCA DEL COTAHUASI,19.0
1,AREQUIPA,SANTUARIO NACIONAL LAGUNAS DE MEJÍA,25.571428571428573
1,AREQUIPA,VALLE DEL COLCA,5600.571428571428
1,AYACUCHO,CENTRO ARQUEOLÓGICO INTIHUATANA,8.714285714285714
1,AYACUCHO,COMPLEJO ARQUEOLÓGICO DE WARI,56.714285714285715
1,AYACUCHO,MUSEO ARQUEÓLOGICO HIPÓLITO UNANUE,2.7142857142857144
1,AYACUCHO,MUSEO DE SITIO DE QUINUA,10.285714285714286
1,AYACUCHO,RESERVA NACIONAL PAMPA GALERAS BARBARA DE A´CHILLE,10.428571428571429
1,AYACUCHO,SANTUARIO HISTÓRICO PAMPA DE AYACUCHO,105.57142857142857
1,CAJAMARCA,CENTRO ARQUEOLÓGICO VENTANILLAS DE OTUZCO,186.57142857142858
1,CAJAMARCA,COMPLEJO MONUMENTAL BELÉN,237.57142857142858
1,CAJAMARCA,MONUMENTO ARQUEOLÓGICO CUMBEMAYO,179.42857142857142
1,CAJAMARCA,SITIO ARQUEOLÓGICO KUNTUR WASI,12.857142857142858
1,CALLAO,MUSEO DE FORTALEZA DEL REAL FELIPE,141.0
1,CALLAO,"MUSEO NAVAL DEL PERÚ ""CAPITÁN DE NAVÍO JULIO JOSÉ ELÍAS MURGUÍA"" - SEDE CALLAO",62.0
1,CALLAO,"RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS - PALOMINO",769.5714285714286
1,CUSCO,CAMINO INKA CHACHABAMBA (KM. 104),632.4285714285714
1,CUSCO,CAMINO INKA INTIHUATANA KM. 122,8470.666666666666
1,CUSCO,CAMINO INKA PISCACUCHO (KM. 82),1190.5714285714287
1,CUSCO,CAMINO INKA QORYWAYRACHINA (KM. 88),4.142857142857143
1,CUSCO,CIUDAD INKA DE MACHUPICCHU,43601.0
1,CUSCO,COMPLEJO ARQUEOLÓGICO DE HUCHUY QOSQO,77.2
1,CUSCO,COMPLEJO ARQUEOLÓGICO DE MORAY,17104.14285714286
1,CUSCO,COMPLEJO ARQUEOLÓGICO DE TARAWASI,19.0
1,CUSCO,COMPLEJO ARQUEOLÓGICO DE TIPÓN,1319.2857142857142
1,CUSCO,EXPLANADA DE SAQSAYHUAMAN,23218.571428571428
1,CUSCO,LLAULLIPATA,10944.285714285714
1,CUSCO,MUSEO DE SITIO CHINCHERO,165.2
1,CUSCO,MUSEO DE SITIO MANUEL CHÁVEZ BALLÓN,631.7142857142857
1,CUSCO,MUSEO HISTÓRICO REGIONAL - CUSCO,2586.0
1,CUSCO,PARQUE ARQUEOLÓGICO DE CHOQUEQUIRAO,115.14285714285714
1,CUSCO,PARQUE ARQUEOLÓGICO DE OLLANTAYTAMBO,23411.0
1,CUSCO,PARQUE ARQUEOLÓGICO DE PIKILLAQTA,1169.5714285714287
1,CUSCO,PARQUE ARQUEOLÓGICO DE PISAQ,15140.142857142857
1,CUSCO,PARQUE ARQUEOLÓGICO DE RAQCHI,1976.142857142857
1,CUSCO,PUQRO,10222.285714285714
1,CUSCO,RUMIPUNKU,1565.5714285714287
1,CUSCO,SANTUARIO HISTÓRICO DE MACHUPICCHU,45428.142857142855
1,CUSCO,SAPANTIANA,1135.0
1,CUSCO,SERVICIOS DE TREN INCA RAIL,25042.571428571428
1,CUSCO,SERVICIOS DE TRENES DE PERU RAIL,24357.5
1,CUSCO,SITIO ARQUEOLÓGICO DE PUKAPUKARA,11827.142857142857
1,CUSCO,SITIO ARQUEOLÓGICO DE QENQO,12790.714285714286
1,CUSCO,SITIO ARQUEOLÓGICO DE TAMBOMACHAY,9497.857142857143
1,HUANCAVELICA,"MUSEO ARQUEOLÓGICO ""SAMUEL HUMBERTO ESPINOZA LOZANO""",0.7142857142857143
1,HUANCAVELICA,"MUSEO REGIONAL ""DANIEL HERNÁNDEZ MORILLO""",0.8571428571428571
1,HUÃNUCO,COMPLEJO ARQUEOLÓGICO HUÁNUCO PAMPA,4.285714285714286
1,HUÃNUCO,COMPLEJO ARQUEOLÓGICO KOTOSH,22.571428571428573
1,HUÃNUCO,PARQUE NACIONAL DE TINGO MARÍA (CUEVA DE LAS LECHUZAS),49.857142857142854
1,ICA,MIRADOR DE LAS LÍNEAS DE NASCA,2662.285714285714
1,ICA,"MUSEO DE SITIO PARACAS ""JULIO C. TELLO""",269.57142857142856
1,ICA,MUSEO REGIONAL ADOLFO BERMÚDEZ JENKINS,252.14285714285714
1,ICA,RESERVA NACIONAL DE PARACAS,4724.428571428572
1,ICA,RESERVA NACIONAL SAN FERNANDO,14.714285714285714
1,ICA,"RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS (RNSIIPG) ISLAS BALLESTAS",10469.42857142857
1,ICA,"RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS (RNSIIPG) SAN JUAN",13.571428571428571
1,JUNÃN,MUSEO DE SITIO Y SANTUARIO DE WARIWILCA,6.714285714285714
1,JUNÃN,MUSEO REGIONAL DE ARQUEOLOGÍA DE JUNÍN,0.0
1,JUNÃN,SANTUARIO HISTÓRICO DE CHACAMARCA,0.0
1,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA ARCO IRIS,250.57142857142858
1,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA DEL SOL Y DE LA LUNA,1570.7142857142858
1,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA EL BRUJO,363.2857142857143
1,LA LIBERTAD,MUSEO DE SITIO CHAN CHAN,402.7142857142857
1,LA LIBERTAD,"PALACIO NIKÁN ""CASA DEL CENTRO""",1255.142857142857
1,LAMBAYEQUE,MUSEO DE SITIO DE TÚCUME,194.71428571428572
